"ANO_DOC","MES_DOC","GRUPO_ENTIDAD","GRUPO_ENTIDAD_NOMBRE","SEC_EJEC","EJECUTORA","EJECUTORA_NOMBRE","DEPARTAMENTO_EJECUTORA","DEPARTAMENTO_EJECUTORA_NOMBRE","PROVINCIA_EJECUTORA","PROVINCIA_EJECUTORA_NOMBRE","DISTRITO_EJECUTORA","DISTRITO_EJECUTORA_NOMBRE","FUENTE_FINANCIAMIENTO","FUENTE_FINANCIAMIENTO_NOMBRE","RUBRO","RUBRO_NOMBRE","TIPO_RECURSO","TIPO_RECURSO_NOMBRE","GENERICA","GENERICA_NOMBRE","SUBGENERICA","SUBGENERICA_NOMBRE","SUBGENERICA_DET","SUBGENERICA_DET_NOMBRE","ESPECIFICA","ESPECIFICA_NOMBRE","ESPECIFICA_DET","ESPECIFICA_DET_NOMBRE","MONTO_PIA","MONTO_PIM","MONTO_RECAUDADO"
"2025","2","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","5","INGRESOS DIVERSOS","1","INGRESOS DIVERSOS","4","OTROS INGRESOS DIVERSOS","1","INDEMNIZACIONES DE SEGUROS","0","0","0"
"2025","2","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","3","VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS","3","VENTA DE SERVICIOS","5","INGRESO POR ALQUILERES","1","INMUEBLES Y TERRENOS","1","EDIFICIOS E INSTALACIONES","0","0","2470.43"
"2025","1","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","3","VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS","3","VENTA DE SERVICIOS","5","INGRESO POR ALQUILERES","1","INMUEBLES Y TERRENOS","1","EDIFICIOS E INSTALACIONES","251732","251732","2089.26"
"2025","2","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","1","RENTAS DE LA PROPIEDAD FINANCIERA","4","OTROS INTERESES","99","OTROS INTERESES","0","0","34076.03"
"2025","1","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","1","RENTAS DE LA PROPIEDAD FINANCIERA","4","OTROS INTERESES","99","OTROS INTERESES","13983","13983","18132.56"
"2025","12","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","9","SALDOS DE BALANCE","1","SALDOS DE BALANCE","1","SALDOS DE BALANCE","1","SALDOS DE BALANCE","1","SALDOS DE BALANCE","0","1317302","0"
"2025","12","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","2","RENTAS DE LA PROPIEDAD REAL","2","DERECHOS E INGRESO POR CONCESIONES","2","DERECHOS DE SERVIDUMBRE","0","0","357711.8"
"2025","12","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","5","INGRESOS DIVERSOS","1","INGRESOS DIVERSOS","4","OTROS INGRESOS DIVERSOS","1","INDEMNIZACIONES DE SEGUROS","0","0","0"
"2025","12","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","5","OTROS INGRESOS","1","RENTAS DE LA PROPIEDAD","1","RENTAS DE LA PROPIEDAD FINANCIERA","4","OTROS INTERESES","99","OTROS INTERESES","0","0","1220.93"
"2025","6","17","ORGANISMOS PUBLICOS DESCENTRALIZADOS REGIONALES","500266","000","ZONA ESPECIAL DE DESARROLLO PAITA - ZED PAITA","20","PIURA","05","PAITA","01","PAITA","2","RECURSOS DIRECTAMENTE RECAUDADOS","09","RECURSOS DIRECTAMENTE RECAUDADOS","0","RECURSOS ORDINARIOS","9","SALDOS DE BALANCE","1","SALDOS DE BALANCE","1","SALDOS DE BALANCE","1","SALDOS DE BALANCE","1","SALDOS DE BALANCE","0","236424","0"
